Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp
5.7,mww,green,Galapagos Triple Junction region,0,2021-04-14,-100.9602,1.8614,1618374809094
5.2,mww,,"Kermadec Islands, New Zealand",0,2021-04-12,-177.828,-30.5758,1618205174303
5.0,mb,,Kermadec Islands region,0,2021-04-11,-176.9769,-29.867,1618152008985
5.4,mww,green,southern East Pacific Rise,0,2021-04-08,-107.6679,-34.7306,1617877516727
5.1,mww,green,Kermadec Islands region,0,2021-04-07,-176.316,-29.0279,1617843639949
5.0,mb,,Kermadec Islands region,0,2021-04-07,-176.6367,-28.8418,1617825521185
5.2,mww,,Kermadec Islands region,0,2021-04-07,-176.44,-28.8637,1617824581233
5.7,mww,green,Kermadec Islands region,0,2021-04-07,-176.4594,-28.8249,1617821281315
5.1,mb,,Kermadec Islands region,0,2021-04-07,-176.4012,-28.9735,1617802497175
5.4,mww,green,Kermadec Islands region,0,2021-04-07,-176.7002,-28.8137,1617792125408
5.1,mww,,Kermadec Islands region,0,2021-04-07,-176.6926,-29.0177,1617791211786
6.1,mww,green,Kermadec Islands region,0,2021-04-07,-176.6124,-29.0489,1617789209653
5.3,mww,,Kermadec Islands region,0,2021-04-06,-176.7107,-29.7196,1617703666751
5.7,mww,green,Kermadec Islands region,0,2021-04-06,-176.9115,-29.4361,1617696976512
5.2,mww,,Kermadec Islands region,0,2021-04-06,-176.6053,-28.9632,1617694642942
5.0,mb,,Kermadec Islands region,0,2021-04-05,-176.8696,-29.5013,1617651322770
5.0,mb,,Kermadec Islands region,0,2021-04-05,-176.7154,-29.1145,1617648085872
5.1,mb,,"Kermadec Islands, New Zealand",0,2021-04-04,-178.0265,-30.3789,1617557150006
5.2,mww,,West Chile Rise,0,2021-04-03,-82.076,-42.5343,1617499205981
5.0,mww,,"19 km E of Riosucio, Colombia",0,2021-04-02,-76.9434,7.4576,1617403442939
5.6,mww,green,"Kermadec Islands, New Zealand",0,2021-04-01,-177.4672,-30.0234,1617315011321
6.0,mww,green,Fiji region,0,2021-04-01,-179.3796,-21.8006,1617289878213
6.4,mww,green,"Kermadec Islands, New Zealand",1,2021-04-01,-177.6758,-29.961,1617270997651
5.1,mb,,Kermadec Islands region,0,2021-03-31,-176.2984,-29.1942,1617163558268
5.5,mww,green,southern East Pacific Rise,0,2021-03-30,-106.0368,-35.3756,1617140148696
5.5,mww,green,Pacific-Antarctic Ridge,0,2021-03-26,-161.2037,-62.3787,1616793133539
5.7,mww,green,Pacific-Antarctic Ridge,0,2021-03-26,-161.6284,-62.5337,1616792607945
5.1,mb,,Kermadec Islands region,0,2021-03-24,-176.637,-28.9464,1616643636278
5.0,mb,,Kermadec Islands region,0,2021-03-22,-178.303,-27.5948,1616434871253
5.6,mww,green,south of Tonga,0,2021-03-20,-175.8866,-24.6511,1616216976244
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-19,-177.1099,-30.2931,1616177383559
5.0,mb,,Kermadec Islands region,0,2021-03-19,-176.6816,-28.1477,1616172429681
5.7,mww,green,West Chile Rise,0,2021-03-16,-85.2754,-40.7768,1615939969547
5.3,mww,,Kermadec Islands region,0,2021-03-16,-178.1116,-27.4191,1615898905383
5.0,mb,,Kermadec Islands region,0,2021-03-15,-176.9157,-29.6479,1615864413181
5.1,mww,,Kermadec Islands region,0,2021-03-15,-176.8863,-29.3351,1615843919704
5.2,mww,,Kermadec Islands region,0,2021-03-15,-176.754,-29.3758,1615841075025
5.3,mww,,Kermadec Islands region,0,2021-03-15,-176.8272,-29.2181,1615836526867
5.2,mww,,Kermadec Islands region,0,2021-03-14,-176.4007,-27.1171,1615698020198
5.0,mww,,"Kermadec Islands, New Zealand",0,2021-03-13,-177.2048,-29.814,1615682415881
5.4,mb,green,Kermadec Islands region,0,2021-03-13,-176.4653,-28.1995,1615670671645
5.9,mww,green,Kermadec Islands region,0,2021-03-13,-176.6326,-28.1496,1615670518485
5.9,mww,green,"Kermadec Islands, New Zealand",0,2021-03-13,-177.8541,-29.8599,1615644301181
5.0,mb,,south of the Kermadec Islands,0,2021-03-13,-179.95,-34.4908,1615615209680
5.1,mww,,south of the Kermadec Islands,0,2021-03-11,-178.1582,-32.2259,1615515579678
5.0,mww,,"223 km ENE of Gisborne, New Zealand",0,2021-03-11,-179.5763,-38.0059,1615464049202
5.1,mb,,,0,2021-03-10,-176.9073,-29.5088,1615428889322
5.2,mb,,south of the Kermadec Islands,0,2021-03-10,-178.4728,-33.1413,1615419887520
5.9,mww,green,"273 km WNW of Haveluloto, Tonga",0,2021-03-10,-177.6158,-20.156,1615407157735
5.1,mb,,south of the Kermadec Islands,0,2021-03-10,-178.4256,-33.188,1615406861033
5.1,mb,,south of the Kermadec Islands,0,2021-03-09,-178.583,-32.9875,1615342345673
5.1,mb,,"41 km NNE of Tingo María, Peru",0,2021-03-09,-75.8849,-8.9346,1615317389057
5.2,mww,,Kermadec Islands region,0,2021-03-08,-176.0944,-28.8661,1615247497390
5.1,mb,,Kermadec Islands region,0,2021-03-08,-176.998,-29.7314,1615240426547
5.2,mb,,Kermadec Islands region,0,2021-03-08,-176.6928,-29.4105,1615238501603
5.1,mb,,"Kermadec Islands, New Zealand",0,2021-03-08,-177.0696,-29.5672,1615232190721
5.0,mb,,Kermadec Islands region,0,2021-03-08,-177.0442,-28.3997,1615224313109
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-08,-177.5358,-29.4312,1615223078981
5.0,mb,,Kermadec Islands region,0,2021-03-08,-176.7343,-28.5531,1615215386903
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-08,-177.2344,-29.6667,1615214709001
5.4,mww,green,Kermadec Islands region,0,2021-03-08,-177.6489,-28.2196,1615204984758
5.2,mww,,Kermadec Islands region,0,2021-03-08,-176.8133,-29.6472,1615193071419
5.0,mb,,,0,2021-03-08,-177.0343,-29.5814,1615183726738
5.1,mb,,Kermadec Islands region,0,2021-03-08,-176.7521,-30.4232,1615181248111
5.1,mb,,Kermadec Islands region,0,2021-03-07,-177.0033,-28.8219,1615173622645
5.0,mb,,Kermadec Islands region,0,2021-03-07,-176.3277,-29.5375,1615168150737
5.1,mb,,Kermadec Islands region,0,2021-03-07,-176.7905,-29.5864,1615163032882
5.0,mb,,south of the Kermadec Islands,0,2021-03-07,-178.4574,-32.9363,1615162592355
5.8,mww,green,Kermadec Islands region,0,2021-03-07,-176.8923,-29.5783,1615161414290
5.4,mww,green,"Kermadec Islands, New Zealand",0,2021-03-07,-177.0667,-29.4759,1615160023839
5.2,mb,,,0,2021-03-07,-176.9376,-29.6847,1615159842239
5.1,mww,green,Kermadec Islands region,0,2021-03-07,-177.0074,-28.5583,1615145328050
5.0,mb,,"222 km ENE of Gisborne, New Zealand",0,2021-03-07,-179.6998,-37.7943,1615142257527
5.0,mb,,Kermadec Islands region,0,2021-03-07,-176.6035,-28.8002,1615135993829
5.0,mb,,Kermadec Islands region,0,2021-03-07,-176.4416,-28.4982,1615135241872
5.4,mb,green,Kermadec Islands region,0,2021-03-07,-176.3111,-28.7434,1615128491777
5.3,mww,green,Kermadec Islands region,0,2021-03-07,-176.6651,-29.2429,1615116296534
5.2,mb,,south of the Kermadec Islands,0,2021-03-07,-178.3192,-32.424,1615115960538
5.1,mb,,Kermadec Islands region,0,2021-03-07,-176.7459,-29.008,1615114525319
5.1,mb,,Kermadec Islands region,0,2021-03-07,-177.8124,-28.3167,1615109729002
5.0,mb,,Kermadec Islands region,0,2021-03-07,-176.7562,-29.5049,1615105856477
5.6,mww,green,,0,2021-03-07,-178.0058,-32.3938,1615103779691
5.1,mb,,"244 km NE of Gisborne, New Zealand",0,2021-03-07,-179.9579,-37.1515,1615100649967
5.6,mww,green,Kermadec Islands region,0,2021-03-06,-176.5717,-29.2219,1615090226922
5.0,mb,,Kermadec Islands region,0,2021-03-06,-177.1489,-28.4729,1615087576805
5.2,mb,,Kermadec Islands region,0,2021-03-06,-176.5472,-28.3356,1615082832134
5.5,mww,green,Kermadec Islands region,0,2021-03-06,-176.589,-28.4674,1615082110322
5.0,mb,,Kermadec Islands region,0,2021-03-06,-177.7722,-28.4182,1615082060074
5.0,mb,,Kermadec Islands region,0,2021-03-06,-176.8046,-29.39,1615076730086
5.6,mww,green,Kermadec Islands region,0,2021-03-06,-177.7768,-28.3845,1615073405376
5.2,mb,,Kermadec Islands region,0,2021-03-06,-176.7491,-29.1797,1615072088919
5.1,mb,,Kermadec Islands region,0,2021-03-06,-176.4821,-28.4947,1615067259946
5.2,mb,,Kermadec Islands region,0,2021-03-06,-176.3085,-28.4007,1615066970554
5.1,mb,,Kermadec Islands region,0,2021-03-06,-177.9786,-28.4814,1615063518056
5.1,mb,,Kermadec Islands region,0,2021-03-06,-177.8428,-28.4325,1615061375510
5.5,mww,green,Kermadec Islands region,0,2021-03-06,-175.7677,-29.447,1615051965925
5.7,mww,green,Kermadec Islands region,0,2021-03-06,-176.9279,-30.2103,1615050793491
5.4,mww,green,Kermadec Islands region,0,2021-03-06,-176.8682,-29.0051,1615041683150
6.1,mww,green,Kermadec Islands region,0,2021-03-06,-177.6283,-28.2896,1615036325498
5.4,mww,green,Kermadec Islands region,0,2021-03-06,-177.8183,-28.2666,1615035826649
5.3,mb,,Kermadec Islands region,0,2021-03-06,-177.7886,-28.3628,1615033264387
5.4,mb,green,Kermadec Islands region,0,2021-03-06,-176.9055,-28.907,1615032724829
6.2,mww,green,Kermadec Islands region,0,2021-03-06,-177.8739,-28.3565,1615032323693
6.2,mww,green,Kermadec Islands region,0,2021-03-06,-177.7664,-28.4217,1615026887134
5.4,mww,,Kermadec Islands region,0,2021-03-06,-177.9035,-28.3891,1615023482712
5.1,mb,,,0,2021-03-06,-176.7965,-29.8499,1615019037094
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-06,-177.1684,-30.0848,1615015813334
5.2,mb,,Kermadec Islands region,0,2021-03-06,-177.5973,-28.4402,1615015313676
5.5,mb,green,Kermadec Islands region,0,2021-03-06,-178.1626,-28.4727,1615015229616
5.3,mb,,Kermadec Islands region,0,2021-03-06,-178.1653,-28.4138,1615015073299
6.1,mww,green,Kermadec Islands region,0,2021-03-06,-177.0009,-28.6263,1615014989302
5.6,mb,green,Kermadec Islands region,0,2021-03-06,-177.0093,-28.6453,1615014979959
5.8,mww,green,Kermadec Islands region,0,2021-03-06,-178.011,-28.4763,1615014144238
5.3,mww,green,"222 km ENE of Gisborne, New Zealand",0,2021-03-06,-179.8372,-37.5977,1615010746979
5.5,mww,green,Kermadec Islands region,0,2021-03-05,-176.8036,-29.9349,1615003186539
5.0,mb,,Kermadec Islands region,0,2021-03-05,-178.1985,-28.8956,1614993831678
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.8152,-29.3615,1614992823722
5.2,mb,,Kermadec Islands region,0,2021-03-05,-178.2978,-28.4273,1614991241138
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.3633,-29.1383,1614990359148
5.1,mb,,Kermadec Islands region,0,2021-03-05,-176.1772,-29.4184,1614990347331
5.2,mb,,Kermadec Islands region,0,2021-03-05,-176.2747,-28.5565,1614990131340
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.8496,-29.941,1614988108759
5.1,mww,green,Kermadec Islands region,0,2021-03-05,-176.8895,-28.8909,1614986251456
5.1,mb,,"Kermadec Islands, New Zealand",0,2021-03-05,-177.0627,-30.0882,1614983690290
5.1,mb,,Kermadec Islands region,0,2021-03-05,-175.9522,-28.4891,1614983101169
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.8373,-30.6196,1614980840481
5.3,mwc,,Kermadec Islands region,0,2021-03-05,-178.3354,-28.9915,1614978609484
5.1,mb,,Kermadec Islands region,0,2021-03-05,-176.3306,-29.5949,1614977561511
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-05,-177.2666,-30.2962,1614977108907
5.8,mww,green,"Kermadec Islands, New Zealand",0,2021-03-05,-177.0249,-30.1475,1614975995721
5.3,mww,green,Kermadec Islands region,0,2021-03-05,-176.4777,-29.7272,1614975643364
5.7,mwb,green,Kermadec Islands region,0,2021-03-05,-177.7339,-28.2393,1614973235261
5.8,mww,green,Kermadec Islands region,0,2021-03-05,-177.7331,-28.3725,1614973028171
5.5,mb,green,"Kermadec Islands, New Zealand",0,2021-03-05,-177.3014,-30.27,1614972893074
5.5,mww,green,Kermadec Islands region,0,2021-03-05,-176.606,-28.44,1614970641193
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.5992,-29.0005,1614967287408
5.0,mb,,,0,2021-03-05,-176.4934,-28.854,1614964425645
5.3,mb,,Kermadec Islands region,0,2021-03-05,-176.7896,-28.8435,1614961220050
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-05,-177.5262,-30.1854,1614956446295
6.2,mww,green,Kermadec Islands region,0,2021-03-05,-176.6099,-28.8983,1614954292718
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.4021,-28.8125,1614952753456
5.2,mb,,"Kermadec Islands, New Zealand",0,2021-03-05,-177.1892,-29.5289,1614949245817
5.3,mb,,Kermadec Islands region,0,2021-03-05,-176.8072,-28.8471,1614938402327
6.0,mww,green,Kermadec Islands region,0,2021-03-05,-176.1259,-29.5019,1614932021003
5.4,mb,green,"Kermadec Islands, New Zealand",0,2021-03-05,-177.1545,-30.1739,1614928998387
5.1,mb,,Kermadec Islands region,0,2021-03-05,-176.5425,-28.568,1614928795313
5.1,mb,,Kermadec Islands region,0,2021-03-05,-176.7823,-29.3274,1614924352397
5.0,mb,,southern East Pacific Rise,0,2021-03-05,-118.9568,-54.9878,1614922752930
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.4636,-28.8131,1614922578894
5.0,mb,,Kermadec Islands region,0,2021-03-05,-176.8455,-29.5324,1614920665434
5.1,mb,,Kermadec Islands region,0,2021-03-04,-176.4146,-28.6804,1614919150007
5.0,mb,,Kermadec Islands region,0,2021-03-04,-177.9094,-28.3951,1614918742992
5.3,mb,,Kermadec Islands region,0,2021-03-04,-178.0591,-28.3741,1614918059492
5.3,mb,,Kermadec Islands region,0,2021-03-04,-176.4911,-28.6205,1614917785861
5.1,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.0144,-29.3196,1614916917007
5.2,mb,green,Kermadec Islands region,0,2021-03-04,-176.7007,-29.6096,1614916384511
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.9716,-28.8426,1614915848933
5.7,mb,green,Kermadec Islands region,0,2021-03-04,-176.598,-28.8013,1614915691044
5.6,mb,green,Kermadec Islands region,0,2021-03-04,-176.6741,-28.7606,1614915200945
5.6,mb,green,,0,2021-03-04,-176.5979,-28.6254,1614914498943
5.1,mb,,Kermadec Islands region,0,2021-03-04,-176.6597,-29.4053,1614914326805
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.4137,-28.2979,1614912789184
5.4,mb,green,Kermadec Islands region,0,2021-03-04,-176.6065,-28.3773,1614912590536
5.0,mb,,Kermadec Islands region,0,2021-03-04,-176.4726,-28.75,1614912432889
5.3,mb,,Kermadec Islands region,0,2021-03-04,-176.5987,-28.2977,1614912192943
6.3,mww,green,Kermadec Islands region,0,2021-03-04,-176.5578,-28.749,1614911436279
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.7753,-29.0728,1614909588880
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.7496,-28.9198,1614909269472
5.3,mb,,Kermadec Islands region,0,2021-03-04,-176.5168,-28.7589,1614908715288
5.3,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.0049,-29.577,1614908561953
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.1102,-29.6096,1614906454183
5.6,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.3762,-30.047,1614905907732
5.2,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.1047,-30.1831,1614905677636
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.8503,-29.1622,1614905358658
5.9,mb,green,Kermadec Islands region,0,2021-03-04,-176.5484,-29.0144,1614904099006
5.5,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.0845,-29.1782,1614903579321
5.0,mb,,Kermadec Islands region,0,2021-03-04,-176.6967,-27.8213,1614902577512
5.1,mb,,Kermadec Islands region,0,2021-03-04,-176.98,-29.3443,1614901973167
5.1,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.2685,-29.2031,1614901315668
5.6,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.2501,-29.6682,1614901029886
5.5,mb,green,Kermadec Islands region,0,2021-03-04,-176.4753,-28.6797,1614900894576
6.5,mwb,green,Kermadec Islands region,0,2021-03-04,-176.6801,-28.5168,1614899579962
5.4,mb,green,Kermadec Islands region,0,2021-03-04,-176.6248,-29.7407,1614899477375
5.6,mb,green,Kermadec Islands region,0,2021-03-04,-176.5251,-28.8266,1614898538412
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.5467,-28.6605,1614897943628
5.4,mb,green,Kermadec Islands region,0,2021-03-04,-176.494,-28.4897,1614897878140
5.8,mb,green,Kermadec Islands region,0,2021-03-04,-176.6342,-28.338,1614897665542
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.7186,-28.5323,1614897629574
5.8,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.1333,-30.0499,1614897225433
5.5,mb,green,Kermadec Islands region,0,2021-03-04,-176.7115,-28.6071,1614895556452
5.2,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.0332,-29.1878,1614895205053
5.1,mb,,Kermadec Islands region,0,2021-03-04,-177.1269,-28.4535,1614894361675
5.0,mb,,Kermadec Islands region,0,2021-03-04,-176.6385,-29.5179,1614892539819
5.0,mb,,Kermadec Islands region,0,2021-03-04,-176.9974,-29.0268,1614892442131
5.0,mb,,"233 km NE of Gisborne, New Zealand",0,2021-03-04,-179.9817,-37.2764,1614892083405
5.8,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.1249,-29.3952,1614891846277
5.6,mb,green,"208 km ENE of Gisborne, New Zealand",0,2021-03-04,-179.9206,-37.74,1614891840623
5.2,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.1064,-29.4846,1614889866990
5.4,mb,green,Kermadec Islands region,0,2021-03-04,-177.2831,-28.6009,1614889663590
6.1,mb,green,Kermadec Islands region,0,2021-03-04,-176.6895,-28.3867,1614889506406
5.1,mb,,Kermadec Islands region,0,2021-03-04,-176.9387,-30.0074,1614889454692
5.5,mb,green,Kermadec Islands region,0,2021-03-04,-176.7873,-28.9814,1614889244074
5.1,mb,,Kermadec Islands region,0,2021-03-04,-177.1612,-28.733,1614888293917
5.0,mb,,Kermadec Islands region,0,2021-03-04,-176.778,-29.1131,1614888014126
5.1,mb,,Kermadec Islands region,0,2021-03-04,-176.8064,-29.6382,1614887426676
5.7,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.4478,-29.5606,1614887176966
5.4,mb,green,Kermadec Islands region,0,2021-03-04,-176.9336,-28.8876,1614887025890
5.2,mb,,Kermadec Islands region,0,2021-03-04,-176.8865,-29.2617,1614886852742
5.4,mb,green,Kermadec Islands region,0,2021-03-04,-176.8599,-28.036,1614886697266
5.6,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.1779,-29.7555,1614886552995
8.1,mww,green,"Kermadec Islands, New Zealand",1,2021-03-04,-177.2794,-29.7228,1614886113178
5.1,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.1777,-29.7069,1614885189552
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.175,-29.7282,1614884794591
5.1,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.207,-29.6679,1614881267401
5.3,mb,green,"Kermadec Islands, New Zealand",0,2021-03-04,-177.2442,-29.9746,1614880750403
5.0,mb,,"Kermadec Islands, New Zealand",0,2021-03-04,-177.6051,-29.7191,1614880271506
7.4,mww,green,"Kermadec Islands, New Zealand",1,2021-03-04,-177.8398,-29.6768,1614879683370
5.0,mb,,"211 km ENE of Gisborne, New Zealand",0,2021-03-04,-179.8876,-37.7313,1614871696956
5.0,mb,,"263 km ENE of Gisborne, New Zealand",0,2021-03-04,-179.3835,-37.4835,1614868652205
