Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp
5.1,mb,,central Mid-Atlantic Ridge,0,2020-10-15,-37.9705,8.1144,1602806903443
5.0,mb,,"11 km SW of Ubinas, Peru",0,2020-10-12,-70.9327,-16.4785,1602536576355
5.0,mb,,"36 km SSW of Andalgalá, Argentina",0,2020-10-09,-66.405,-27.8978,1602233751522
6.9,mww,green,central Mid-Atlantic Ridge,1,2020-09-18,-26.8533,0.9298,1600465439027
5.7,mww,green,central Mid-Atlantic Ridge,0,2020-09-16,-37.0931,7.7831,1600311618282
6.2,mww,green,"82 km NNE of Tocopilla, Chile",0,2020-09-11,-69.9096,-21.3968,1599809757187
5.0,mb,,Falkland Islands region,0,2020-09-06,-55.2649,-52.3832,1599436918228
6.7,mww,green,central Mid-Atlantic Ridge,1,2020-09-06,-37.1544,7.6829,1599375078470
6.3,mww,green,"40 km NW of Ovalle, Chile",0,2020-09-05,-71.4912,-30.3388,1599355018935
6.5,mww,green,"94 km NW of Vallenar, Chile",0,2020-09-01,-71.3701,-27.9162,1598994557852
5.0,mww,,"99 km NW of Vallenar, Chile",0,2020-09-01,-71.3901,-27.8784,1598980402241
5.7,mww,green,"99 km NW of Vallenar, Chile",0,2020-09-01,-71.3922,-27.8691,1598956312471
5.8,mww,green,"88 km NW of Vallenar, Chile",0,2020-09-01,-71.3814,-27.9964,1598943685574
5.4,mww,green,"83 km NW of Vallenar, Chile",0,2020-09-01,-71.2842,-27.9801,1598938179438
5.1,mwr,green,"80 km NNW of Vallenar, Chile",0,2020-09-01,-71.2008,-27.968,1598934996982
6.3,mww,green,"78 km NW of Vallenar, Chile",0,2020-09-01,-71.2662,-28.0315,1598934602173
5.1,mb,,"79 km NNW of Vallenar, Chile",0,2020-09-01,-71.1538,-27.951,1598934046447
6.8,mww,green,"86 km NW of Vallenar, Chile",1,2020-09-01,-71.3062,-27.9686,1598933368470
6.5,mww,green,central Mid-Atlantic Ridge,0,2020-08-30,-29.8656,0.7821,1598822429757
5.1,mww,,"84 km S of Arica, Chile",0,2020-08-15,-70.2937,-19.2414,1597547930046
5.0,mww,,"2 km NNW of Huambo, Peru",0,2020-08-14,-72.1145,-15.7132,1597437275468
5.5,mww,green,central Mid-Atlantic Ridge,0,2020-08-09,-27.7257,0.9296,1596976933079
5.3,mww,green,"50 km W of Atiquipa, Peru",0,2020-08-06,-74.8369,-15.8386,1596752289292
5.5,mww,green,"122 km NE of Iquique, Chile",0,2020-08-03,-69.1855,-19.5898,1596455812129
5.1,mww,,"31 km NNE of El Cardo, Peru",0,2020-08-01,-72.6021,-16.344,1596270326767
5.0,mww,,"17 km ENE of Pachaconas, Peru",0,2020-07-31,-72.8739,-14.1413,1596189814412
5.0,mww,,"28 km ENE of Copiapó, Chile",0,2020-07-22,-70.0623,-27.2861,1595456711397
5.1,mww,,"25 km SE of Albania, Colombia",0,2020-07-21,-72.4162,11.0149,1595387796285
5.2,mww,,South Sandwich Islands region,0,2020-07-19,-29.1917,-54.9481,1595214482395
5.9,mww,yellow,"3 km SE of Iquique, Chile",0,2020-07-17,-70.1328,-20.2355,1594964436300
5.1,mww,,"41 km S of El Tocuyo, Venezuela",0,2020-07-12,-69.8602,9.4142,1594566529349
5.1,mww,,South Atlantic Ocean,0,2020-07-03,-46.8857,-53.0785,1593783745899
5.0,mb,,"49 km W of Abapó, Bolivia",0,2020-06-29,-63.8484,-18.9254,1593407193435
5.1,mb,,"44 km S of Vallegrande, Bolivia",0,2020-06-29,-64.0673,-18.8856,1593407188510
5.2,mww,,"44 km NW of La Ligua, Chile",0,2020-06-25,-71.6188,-32.2257,1593086104667
6.8,mww,green,"48 km SW of San Pedro de Atacama, Chile",1,2020-06-03,-68.4677,-23.274,1591169736466
6.1,mww,green,"19 km SW of Vilavila, Peru",0,2020-05-31,-70.7731,-15.3256,1590901778593
5.2,mww,,central Mid-Atlantic Ridge,0,2020-05-30,-39.1316,8.0532,1590885121813
5.2,mww,,"70 km E of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",0,2020-05-23,-69.8262,-33.5124,1590239460383
5.4,mww,green,"21 km NE of San Pedro de Atacama, Chile",0,2020-05-10,-68.0677,-22.7558,1589133861884
5.0,mww,,"74 km WSW of San Pedro de Atacama, Chile",0,2020-05-08,-68.848,-23.2153,1588977727578
5.1,mwr,,"99 km SSW of Arica, Chile",0,2020-05-06,-70.4824,-19.3548,1588779792556
5.7,mww,green,"13 km NW of Lampa, Peru",0,2020-05-02,-70.4586,-15.2734,1588466666369
5.4,mww,green,"66 km WNW of San Antonio de los Cobres, Argentina",0,2020-04-30,-66.93,-24.0112,1588284631558
5.3,mww,green,"34 km NE of San Pedro de Atacama, Chile",0,2020-04-30,-67.9997,-22.6597,1588238592537
5.4,mww,green,"74 km W of San Antonio de los Cobres, Argentina",0,2020-04-29,-67.0461,-24.2701,1588138636535
5.1,mww,,northern Mid-Atlantic Ridge,0,2020-04-28,-44.8374,13.227,1588075352897
5.1,mww,,"38 km WSW of Cañete, Chile",0,2020-04-16,-73.7707,-37.9731,1587049985664
5.7,mww,green,"13 km NNE of Pinillos, Colombia",0,2020-04-15,-74.4338,9.0335,1586948368999
5.2,mww,,"24 km NW of El Hoyo, Argentina",0,2020-04-14,-63.4139,-26.8817,1586913334836
5.2,mww,,"7 km SW of Yanaca, Peru",0,2020-04-13,-73.2125,-14.2634,1586783907874
5.0,mww,,"58 km SE of Palca, Peru",0,2020-04-09,-69.611,-18.18,1586441212104
5.0,mww,,"67 km NW of Scarborough, Trinidad and Tobago",0,2020-04-06,-61.1271,11.6591,1586230011175
5.2,mww,,"30 km SW of Colonia Dora, Argentina",0,2020-03-27,-63.1626,-28.8064,1585330970317
5.1,mwr,,"102 km NW of Quirihue, Chile",0,2020-03-25,-73.4677,-35.7473,1585119158920
5.6,mww,green,"54 km NNW of Tomé, Chile",0,2020-03-17,-73.1685,-36.1555,1584432723636
5.2,mww,,"96 km ENE of Iquique, Chile",0,2020-03-12,-69.2739,-19.9306,1584065282221
5.1,mww,,"94 km NNE of San Pedro de Atacama, Chile",0,2020-03-10,-67.8732,-22.1116,1583847860838
5.5,mww,green,"39 km S of Tinogasta, Argentina",0,2020-03-05,-67.4978,-28.4189,1583391461361
5.0,mww,,"80 km WSW of Constitución, Chile",0,2020-02-18,-73.2435,-35.5964,1582003965462
5.2,mww,,"74 km NE of Calama, Chile",0,2020-02-16,-68.4679,-21.932,1581890744273
5.0,mww,,"107 km SW of Iquique, Chile",0,2020-02-13,-70.8282,-20.9437,1581573038170
5.1,mww,,"38 km WSW of Atiquipa, Peru",0,2020-02-12,-74.667,-15.9795,1581568312029
5.3,mww,,"79 km NNW of Taltal, Chile",0,2020-02-11,-70.8845,-24.7868,1581429002629
5.2,mww,,,0,2020-02-08,-68.7137,-20.8279,1581142677956
5.2,mww,,"69 km WSW of San Antonio de los Cobres, Argentina",0,2020-01-31,-66.9561,-24.4465,1580524557424
5.5,mww,green,"102 km WSW of Coquimbo, Chile",0,2020-01-28,-72.3456,-30.2403,1580235404073
5.3,mww,,"32 km WNW of Villazón, Bolivia",0,2020-01-26,-65.8973,-21.995,1580064244233
5.3,mww,green,"21 km SSW of San Antonio, Peru",0,2020-01-24,-71.0157,-17.3895,1579842829880
5.5,mww,green,"12 km WNW of El Hoyo, Argentina",0,2020-01-23,-63.3514,-26.9878,1579813888824
5.0,mww,,"104 km NE of Calama, Chile",0,2020-01-13,-68.2737,-21.7351,1578967048755
5.3,mww,,"14 km SE of San Martín de los Andes, Argentina",0,2020-01-12,-71.2282,-40.2487,1578880900997
5.2,mww,,"152 km E of Iquique, Chile",0,2020-01-08,-68.7106,-20.4299,1578473264102
5.0,mwr,,"42 km SSW of Coquimbo, Chile",0,2020-01-01,-71.5582,-30.2857,1577897492285
5.0,mb,,"7 km ENE of Mesetas, Colombia",0,2019-12-24,-73.9867,3.419,1577239883210
5.7,mww,green,"9 km NW of Mesetas, Colombia",0,2019-12-24,-74.1034,3.4502,1577215143273
5.0,mb,,"11 km WSW of Lejanías, Colombia",0,2019-12-24,-74.1248,3.4917,1577214943628
5.1,mb,,"11 km E of Lejanías, Colombia",0,2019-12-24,-73.9247,3.542,1577214661700
6.0,mww,yellow,"1 km NE of Lejanías, Colombia",0,2019-12-24,-74.0176,3.5359,1577214232492
6.0,mww,green,"16 km WNW of El Hoyo, Argentina",0,2019-12-24,-63.3857,-26.964,1577205813420
5.0,mww,,"73 km W of San Antonio de los Cobres, Argentina",0,2019-12-15,-67.0399,-24.1789,1576435326644
5.0,mb,,"9 km SW of Yerba Buena, Argentina",0,2019-12-15,-65.3713,-26.887,1576432626856
6.0,mww,green,"29 km W of Arica, Chile",0,2019-12-03,-70.576,-18.5042,1575362795780
5.3,mww,green,"100 km SW of Iquique, Chile",0,2019-12-03,-70.7619,-20.9138,1575358170471
5.0,mww,,"49 km ENE of Los Andes, Chile",0,2019-11-22,-70.0996,-32.7003,1574461651390
5.7,mww,green,"62 km SW of San Luis, Argentina",0,2019-11-19,-66.8723,-33.6399,1574205040570
5.2,mww,,"74 km SW of San Antonio, Chile",0,2019-11-15,-72.2462,-34.0029,1573838202522
5.5,mww,green,central Mid-Atlantic Ridge,0,2019-11-13,-35.4035,7.321,1573652645000
5.1,mww,,"7 km NNW of Lampa, Peru",0,2019-11-12,-70.4053,-15.2885,1573603759939
6.1,mww,yellow,"29 km SW of Illapel, Chile",0,2019-11-04,-71.3753,-31.8362,1572904405320
5.1,mww,,"81 km NNW of Tocopilla, Chile",0,2019-11-04,-70.4875,-21.4087,1572872619631
5.6,mww,green,"16 km W of Chilecito, Argentina",0,2019-11-03,-67.6662,-29.1642,1572787398432
5.2,mww,,"88 km W of Ovalle, Chile",0,2019-11-03,-72.1165,-30.643,1572768370445
5.0,mww,,"15 km W of San José de Jáchal, Argentina",0,2019-10-27,-68.9122,-30.2439,1572234907147
5.7,mww,green,"67 km NNE of Calama, Chile",0,2019-10-06,-68.5934,-21.9343,1570358456391
5.6,mww,green,"32 km NNE of Calama, Chile",0,2019-09-30,-68.799,-22.1911,1569844402983
5.0,mww,,"56 km WSW of Constitución, Chile",0,2019-09-29,-72.9884,-35.5169,1569787918751
5.2,mb,,"76 km W of Constitución, Chile",0,2019-09-29,-73.2386,-35.4534,1569773386126
6.7,mww,green,"70 km WSW of Constitución, Chile",1,2019-09-29,-73.163,-35.4758,1569772673236
5.4,mww,green,"10 km N of Coquimbo, Chile",0,2019-09-26,-71.3503,-29.855,1569529890337
6.1,mww,green,"30 km W of Villa La Angostura, Argentina",0,2019-09-26,-71.9993,-40.8145,1569515778155
5.3,mww,,"41 km ESE of Londres, Argentina",0,2019-09-25,-66.7515,-27.8767,1569440602769
5.3,mww,,"99 km NW of Talcahuano, Chile",0,2019-09-23,-73.8352,-36.0451,1569227079022
5.0,mww,,"9 km WNW of Albardón, Argentina",0,2019-09-14,-68.6181,-31.396,1568438130697
5.4,mww,green,"26 km WNW of Cumaná, Venezuela",0,2019-09-09,-64.4206,10.5125,1568052317123
5.1,mww,,"94 km NW of Talcahuano, Chile",0,2019-09-05,-73.8035,-36.0838,1567662091403
5.0,mww,,central Peru,0,2019-09-02,-72.5498,-14.0458,1567442127803
5.1,mww,,"78 km W of Arica, Chile",0,2019-09-01,-71.0334,-18.5789,1567373536431
5.0,mb,,central Mid-Atlantic Ridge,0,2019-08-25,-39.3527,8.4925,1566758810339
5.1,mww,,"Near the coast of Los Lagos, Chile",0,2019-08-24,-74.3145,-43.135,1566689794179
5.3,mww,,central Mid-Atlantic Ridge,0,2019-08-09,-37.064,7.5623,1565408481941
5.8,mww,green,central Mid-Atlantic Ridge,0,2019-08-04,-27.8703,1.0417,1564965646024
5.4,mww,green,"84 km SW of San Antonio, Chile",0,2019-08-01,-72.1958,-34.1825,1564707316735
5.6,mww,green,"100 km WNW of Santa Cruz, Chile",0,2019-08-01,-72.3734,-34.2812,1564689688233
6.8,mww,green,"96 km SW of San Antonio, Chile",1,2019-08-01,-72.3102,-34.2364,1564684087270
5.2,mww,,central Mid-Atlantic Ridge,0,2019-07-24,-40.5278,9.4005,1563994654854
5.1,mb,,South Sandwich Islands region,0,2019-07-12,-27.9107,-54.678,1562930563454
5.0,mww,,"64 km NNE of La Serena, Chile",0,2019-06-28,-71.0244,-29.3602,1561710642818
5.4,mww,green,"66 km SSW of San Martín, Argentina",0,2019-06-19,-68.7592,-33.6324,1560993806346
5.4,mww,green,central Mid-Atlantic Ridge,0,2019-06-17,-26.0779,0.7943,1560801789684
6.4,mww,green,"72 km W of Coquimbo, Chile",0,2019-06-13,-72.0819,-30.0557,1560471552401
5.0,mww,,"24 km NW of Ovalle, Chile",0,2019-06-13,-71.3771,-30.4442,1560466211138
5.3,mww,,"14 km ESE of Copiapó, Chile",0,2019-06-05,-70.1933,-27.4146,1559751582443
5.2,mww,,"68 km NNW of Iquique, Chile",0,2019-06-03,-70.4952,-19.6837,1559551332461
5.3,mww,green,central Mid-Atlantic Ridge,0,2019-06-01,-25.9778,0.8159,1559401381729
5.2,mww,,"46 km SW of Andalgalá, Argentina",0,2019-05-24,-66.6429,-27.8854,1558728959385
5.0,mww,,"103 km W of El Aguilar, Argentina",0,2019-05-21,-66.689,-23.1389,1558423139868
5.5,mww,green,"57 km WSW of Calingasta, Argentina",0,2019-05-20,-70.0028,-31.4782,1558351113131
5.0,mww,,"47 km NNW of Iquique, Chile",0,2019-05-17,-70.2795,-19.8024,1558102584296
5.2,mww,,"149 km WNW of Constitución, Chile",0,2019-05-17,-74.0153,-35.0632,1558070848234
5.1,mww,,"12 km W of Palca, Peru",0,2019-05-16,-70.076,-17.7629,1558017169949
5.1,mww,,"14 km N of Calana, Peru",0,2019-05-16,-70.1711,-17.8136,1558017169376
5.1,mww,,"13 km S of Calingasta, Argentina",0,2019-05-15,-69.3931,-31.456,1557966733592
5.0,mb,,"16 km SW of Sacsamarca, Peru",0,2019-05-13,-74.4259,-14.0399,1557751313105
5.2,mww,,"11 km WNW of Salcabamba, Peru",0,2019-05-13,-74.8826,-12.1597,1557731431700
5.0,mb,,"18 km ESE of Tinogasta, Argentina",0,2019-04-29,-67.3963,-28.1444,1556555708855
5.5,mww,green,"76 km SW of Taltal, Chile",0,2019-04-26,-71.0166,-25.8994,1556259754325
5.3,mww,green,"106 km NNE of Calama, Chile",0,2019-04-24,-68.6221,-21.5388,1556132252294
5.1,mww,,"78 km W of San Antonio de los Cobres, Argentina",0,2019-04-22,-67.0884,-24.2469,1555957794239
5.0,mww,,"72 km W of San Antonio de los Cobres, Argentina",0,2019-04-21,-67.0144,-24.3453,1555864301799
5.6,mww,green,"68 km NNW of La Serena, Chile",0,2019-04-18,-71.5891,-29.3648,1555560394948
5.0,mww,,"39 km NW of Añatuya, Argentina",0,2019-04-16,-63.1341,-28.2253,1555434060019
5.6,mww,green,"86 km WSW of San Antonio, Chile",0,2019-04-07,-72.5153,-33.7588,1554634361093
5.4,mww,green,"97 km NNE of Taltal, Chile",0,2019-03-28,-70.1015,-24.598,1553785531688
5.0,mww,,"88 km NNE of Tocopilla, Chile",0,2019-03-25,-70.0005,-21.3137,1553511160475
5.5,mww,green,central Mid-Atlantic Ridge,0,2019-03-23,-37.0977,7.5298,1553344524336
5.1,mb,,"156 km W of Colchani, Bolivia",0,2019-03-16,-68.429,-20.3718,1552784017680
5.2,mww,,"28 km NW of Coquimbo, Chile",0,2019-03-16,-71.5547,-29.7721,1552759575402
6.3,mww,green,"31 km SSE of Tarata, Bolivia",0,2019-03-15,-65.9072,-17.8744,1552626230060
5.7,mww,green,"141 km WNW of Coquimbo, Chile",0,2019-03-07,-72.6945,-29.4648,1551972868290
5.0,mww,,"19 km SSW of Añelo, Argentina",0,2019-03-07,-68.8567,-38.5233,1551935437114
5.5,mww,green,"92 km W of San Antonio, Chile",0,2019-03-02,-72.5954,-33.6774,1551558112630
5.0,mww,,"41 km W of Ovalle, Chile",0,2019-03-01,-71.6336,-30.5876,1551480206923
7.0,mww,green,"22 km NNE of Azángaro, Peru",1,2019-03-01,-70.1546,-14.7131,1551430242591
5.5,mww,green,"37 km SSE of Suncho Corral, Argentina",0,2019-02-28,-63.2866,-28.2499,1551399209230
5.3,mww,,"49 km WNW of Coquimbo, Chile",0,2019-02-25,-71.813,-29.7751,1551108522090
5.5,mww,green,central Mid-Atlantic Ridge,0,2019-02-25,-32.6219,4.2909,1551107133178
5.2,mww,,"3 km E of Velinga, Peru",0,2019-02-21,-72.9909,-15.2699,1550787453660
5.0,mww,,"29 km NW of Yuto, Argentina",0,2019-02-17,-64.6916,-23.4656,1550409728030
5.5,mww,green,"49 km NNE of Paucarbamba, Peru",0,2019-02-14,-74.3097,-12.1674,1550154796800
5.0,mww,,"106 km NNE of Calama, Chile",0,2019-02-09,-68.3666,-21.6457,1549740188820
5.2,mww,,"100 km WNW of Iquique, Chile",0,2019-02-06,-71.0435,-19.8905,1549475809690
5.6,mww,green,"57 km SSW of Taltal, Chile",0,2019-01-30,-70.6676,-25.8985,1548834285250
5.5,mww,green,"20 km NNW of Ayo, Peru",0,2019-01-29,-72.3651,-15.523,1548804900470
5.2,mww,,"57 km WSW of Constitución, Chile",0,2019-01-28,-72.9602,-35.5891,1548666047380
5.1,mb,,"34 km E of Yuyapichis, Peru",0,2019-01-24,-74.6628,-9.6306,1548345362350
5.1,mb,,"18 km S of Coquimbo, Chile",0,2019-01-24,-71.3753,-30.1191,1548325708420
5.2,mb,,"3 km W of Cepitá, Colombia",0,2019-01-23,-73.0062,6.7506,1548299097770
5.3,mww,,central Mid-Atlantic Ridge,0,2019-01-23,-37.974,7.9833,1548254909260
6.7,mww,orange,"10 km SSW of Coquimbo, Chile",1,2019-01-19,-71.3815,-30.0404,1547947972480
5.2,mb,,"13 km ESE of Locumba, Peru",0,2019-01-14,-70.6526,-17.6744,1547506088620
5.2,mww,,"48 km WSW of Nauta, Peru",0,2019-01-08,-74.0062,-4.6078,1546941610050
5.0,mb,,"12 km SE of Ocuviri, Peru",0,2019-01-06,-70.8297,-15.1888,1546772780320
6.8,mww,green,"90 km W of Tarauacá, Brazil",0,2019-01-05,-71.587,-8.144,1546716338520
5.3,mww,,"52 km SSE of Calingasta, Argentina",0,2018-12-31,-69.2343,-31.7756,1546253381250
5.4,mww,yellow,"5 km NW of Guacara, Venezuela",0,2018-12-27,-67.9035,10.2636,1545901151240
5.0,mwr,,"136 km NNE of Calama, Chile",0,2018-12-23,-68.2275,-21.4053,1545617969970
5.0,mb,,central Mid-Atlantic Ridge,0,2018-12-21,-40.4903,9.1049,1545423057560
5.0,mb,,"37 km E of Padilla, Bolivia",0,2018-12-20,-63.9461,-19.2859,1545295975070
5.0,mww,green,"7 km SSW of San Antonio, Chile",0,2018-12-05,-71.6324,-33.6578,1544029933700
5.5,mww,green,"81 km WSW of San Antonio, Chile",0,2018-12-01,-72.401,-33.9216,1543708524630
5.2,mww,,"7 km W of Valera, Venezuela",0,2018-11-24,-70.6681,9.3095,1543092073360
5.0,mb,,northern Mid-Atlantic Ridge,0,2018-11-18,-44.9834,14.9332,1542557063790
5.3,mb,,central Mid-Atlantic Ridge,0,2018-11-10,-29.7286,0.827,1541834272450
5.2,mww,,"49 km W of Ovalle, Chile",0,2018-11-09,-71.7108,-30.6285,1541789650170
6.2,mww,green,"115 km NE of Iquique, Chile",0,2018-11-01,-69.2656,-19.5827,1541110791690
5.1,mww,,"96 km E of Scarborough, Trinidad and Tobago",0,2018-10-21,-59.8631,11.3071,1540139711680
5.5,mww,green,central Mid-Atlantic Ridge,0,2018-10-16,-28.2193,0.95,1539678936820
5.8,mww,green,central Mid-Atlantic Ridge,0,2018-10-06,-37.7083,7.6608,1538871004880
5.2,mww,,"18 km WSW of Checca, Peru",0,2018-10-04,-71.5485,-14.546,1538703961230
5.2,mww,,"26 km ESE of Minas de Marcona, Peru",0,2018-09-25,-74.8969,-15.3405,1537916207690
5.3,mww,,"85 km SSE of Antofagasta, Chile",0,2018-09-23,-70.041,-24.3507,1537680731460
5.4,mww,,"71 km SW of Taltal, Chile",0,2018-09-22,-70.9383,-25.8996,1537622039240
5.0,mww,,"78 km NNW of Iquique, Chile",0,2018-09-19,-70.3888,-19.5404,1537382541450
5.4,mww,,"2 km ESE of Pucara, Peru",0,2018-09-14,-71.4369,-15.9944,1536924003310
5.1,mww,,"59 km SE of Contamana, Peru",0,2018-09-14,-74.6465,-7.7289,1536898356440
5.3,mww,,"93 km W of Vallenar, Chile",0,2018-09-10,-71.6956,-28.7391,1536567855180
5.8,mww,green,"85 km ESE of Vallenar, Chile",0,2018-09-06,-69.9459,-28.8696,1536287957950
5.1,mwr,,"31 km SSE of Machalí, Chile",0,2018-09-05,-70.5143,-34.4405,1536178601390
